data;investimento_SEARCH;investimento_DV360;investimento_GOOGLE-ADS;investimento_META;investimento_AMAZON;investimento_TEADS;investimento_TWITTER;investimento_YAHOO;investimento_TIKTOK;investimento_PINTEREST;investimento_MICROSOFT-ADS;investimento_VERIZON;investimento_ORGÂNICO;investimento_LINKEDIN;investimento_OUTROS;investimento_CONECTED-INTERATIVE;investimento_CONNECTED INTERATIVE;investimento_HYPR;investimento_GDB;investimento_MERCADO LIVRE;investimento_UOL;impressoes_SEARCH;impressoes_DV360;impressoes_GOOGLE-ADS;impressoes_META;impressoes_AMAZON;impressoes_TEADS;impressoes_TWITTER;impressoes_YAHOO;impressoes_TIKTOK;impressoes_PINTEREST;impressoes_MICROSOFT-ADS;impressoes_VERIZON;impressoes_ORGÂNICO;impressoes_LINKEDIN;impressoes_OUTROS;impressoes_CONECTED-INTERATIVE;impressoes_CONNECTED INTERATIVE;impressoes_HYPR;impressoes_GDB;impressoes_MERCADO LIVRE;impressoes_UOL
2020-12-28;157930,9700;189633,2774;93519,3231;126770,9206;9782,2413;0,0000;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;680420;48750566;19789288;14176232;7681254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-04;415670,4400;457247,9145;209163,0410;281774,9299;23390,3333;32479,9191;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1731142;158893967;56321717;23672759;17595154;4441647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-11;425529,6100;474778,6852;232230,5830;309598,8204;22455,2815;86547,6143;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1735838;176715484;50595842;30242448;17070451;13366367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-18;408029,7300;473768,6872;272775,8838;311663,5514;21085,7243;80642,5676;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1670309;173828195;83203605;32360819;16016270;13547016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-25;327202,1200;440027,8446;356532,7442;318736,2803;22273,3522;50291,4474;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1355807;169239404;67856394;32230582;17081809;9831047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-02-01;385656,9700;461768,8890;266885,5461;300533,8490;23100,3179;63960,9258;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1520324;202536066;52479451;30594786;19244942;10223418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-02-08;437505,8500;490697,2540;261874,5143;372679,7108;25580,6004;81456,3790;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1728524;193599697;43474665;40762830;17642038;14445071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-02-15;455893,9655;486095,4589;260804,5864;390025,4603;29773,9452;66879,5823;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1733546;191814735;43887578;44003557;17653353;12793476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-02-22;481628,2559;465308,2647;549000,1527;305540,9801;21588,4574;37205,0003;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1740157;164627912;115714068;26684555;12509470;5918007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-03-01;433320,6000;327073,9096;199649,4340;277474,5519;13996,9342;37227,2154;0,0000;0,0000;0,00;0,0000;0;0;0;0,00;0;0;0,00;0,00;0,0000;0,00;0;1598792;170173266;30179431;25679051;7400739;6165338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
