DATA_DAS_INFORMACOES;FLUXO_DE_LOJA;TEST_DRIVE;PEDIDOS_DE_VENDAS_TOTAIS;PEDIDOS_DE_VENDAS_DIRETA;PEDIDOS_DE_VENDAS_VAREJO;EMPLACAMENTO
2021-01-03;0;0;0;0;0;0
2021-01-10;0;0;0;0;0;0
2021-01-17;0;0;0;0;0;0
2021-01-24;193;94;107;0;107;0
2021-01-31;5585;2655;2661;0;2661;0
2021-02-07;5592;2601;2452;0;2452;0
2021-02-14;5917;3084;2699;0;2699;0
2021-02-21;6221;3127;3815;0;3815;0
2021-02-28;4337;2096;2121;0;2121;0
2021-03-07;3901;1924;2461;0;2461;0
2021-03-14;3760;1846;2663;0;2663;0
2021-03-21;3520;1842;2371;0;2371;0
2021-03-28;2633;1272;2160;0;2160;0
2021-04-04;4300;1932;2884;0;2884;0
2021-04-11;4593;2133;2663;0;2663;0
2021-04-18;4957;2306;2768;0;2768;0
2021-04-25;4515;2104;2763;0;2763;0
2021-05-02;6687;3693;3362;0;3362;0
2021-05-09;7368;4451;3592;0;3592;0
2021-05-16;7686;4724;3715;0;3715;0
2021-05-23;7354;4519;3549;0;3549;0
2021-05-30;6099;3554;2744;0;2744;0
2021-06-06;6595;3962;3232;0;3232;0
2021-06-13;7379;4243;3466;0;3466;0
2021-06-20;7486;4579;3523;0;3523;0
2021-06-27;6639;3828;3141;0;3141;0
2021-07-04;6243;3495;2979;0;2979;0
2021-07-11;8066;4717;3869;0;3869;0
2021-07-18;8294;4783;3904;0;3904;0
2021-07-25;7412;4190;3736;0;3736;0
2021-08-01;6712;3783;3000;0;3000;0
2021-08-08;7488;4281;3393;0;3393;0
2021-08-15;8043;4630;3847;0;3847;0
2021-08-22;10089;4078;6715;0;6715;0
2021-08-29;7590;3630;4718;0;4718;0
2021-09-05;6623;3193;3457;0;3457;0
2021-09-12;7853;3959;4300;0;4300;0
2021-09-19;8093;4468;4337;0;4337;0
2021-09-26;7120;3801;3803;0;3803;0
2021-10-03;6362;3083;2754;0;2754;0
2021-10-10;8628;4585;3679;0;3679;0
2021-10-17;8417;5223;4010;0;4010;0
2021-10-24;7729;4692;4097;0;4097;0
2021-10-31;6181;3746;2665;0;2665;0
2021-11-07;6590;4028;3013;0;3013;0
2021-11-14;6643;4368;3205;0;3205;0
2021-11-21;8480;5638;4416;0;4416;0
2021-11-28;6452;4178;3172;0;3172;0
2021-12-05;6487;4282;3228;0;3228;0
2021-12-12;7191;4509;3807;0;3807;0
2021-12-19;4230;2551;2110;0;2110;0
2021-12-26;4398;2658;2183;0;2183;0
2022-01-02;5446;3013;1901;0;1901;2705
2022-01-09;5661;3301;2421;0;2421;2705
2022-01-16;6148;3614;2855;0;2855;2705
2022-01-23;6336;3817;2906;0;2906;2705
2022-01-30;7149;3960;4197;0;4197;2261
2022-02-06;14613;5601;8425;0;8425;2150
2022-02-13;9899;5588;5146;0;5146;2150
2022-02-20;7878;4578;3783;0;3783;2150
2022-02-27;6091;3529;2440;0;2440;2230
2022-03-06;7553;4477;3607;0;3607;2250
2022-03-13;8284;5209;4130;0;4130;2250
2022-03-20;7859;5106;4009;0;4009;2250
2022-03-27;7210;4555;3853;0;3853;2316
2022-04-03;7478;4689;3609;0;3609;2580
2022-04-10;5528;3419;2459;0;2459;2580
2022-04-17;6846;4221;3142;0;3142;2580
2022-04-24;8081;4940;4469;0;4469;2580
2022-05-01;6521;3906;2928;0;2928;2915
2022-05-08;7272;4525;3243;0;3243;2915
2022-05-15;8273;5103;4065;0;4065;2915
2022-05-22;7347;4513;3783;0;3783;2915
2022-05-29;6927;4330;3559;0;3559;2756
2022-06-05;7060;4258;3203;0;3203;2650
2022-06-12;6201;3767;2732;0;2732;2650
2022-06-19;8244;4869;4021;0;4021;2650
2022-06-26;6770;4006;3420;0;3420;2604
2022-07-03;6269;3641;2722;0;2722;2420
2022-07-10;6776;4070;2897;0;2897;2420
2022-07-17;8366;5110;4067;0;4067;2420
2022-07-24;7422;4454;3987;0;3987;2420
2022-07-31;7422;3796;2890;0;2890;2685
2022-08-07;6254;3623;2895;0;2895;2685
2022-08-14;7119;4176;3408;0;3408;2685
2022-08-21;8251;4891;4119;0;4119;2685
2022-08-28;7055;3943;3550;0;3550;2603
2022-09-04;5425;3044;2305;0;2305;2480
2022-09-11;6669;4016;2899;0;2899;2480
2022-09-18;7598;4443;3769;0;3769;2480
2022-09-25;6542;3828;3410;0;3410;2480
2022-10-02;6124;3642;2726;0;2726;2715
2022-10-09;5776;3513;2575;0;2575;2715
2022-10-16;7206;4337;3344;0;3344;2715
2022-10-23;8389;5301;4081;0;4081;2715
2022-10-30;4997;2822;2179;0;2179;2963
2022-11-06;6177;3394;2549;0;2549;3025
2022-11-13;6153;3725;2722;0;2722;3025
2022-11-20;7055;4322;3626;0;3626;3025
2022-11-27;5968;3681;2788;0;2788;3069
2022-12-04;5128;3038;2220;0;2220;3135
2022-12-11;6282;3646;3066;0;3066;3135
2022-12-18;4278;2332;1690;0;1690;3135
2022-12-25;4521;2435;1646;0;1646;3135
2023-01-01;5705;3082;2067;0;2067;1935
2023-01-08;6298;3479;2311;0;2311;1935
2023-01-15;7433;4412;3232;0;3232;1935
2023-01-22;6930;3953;2625;0;2625;1935
2023-01-29;6280;3520;2539;0;2539;2133
2023-02-05;6739;3975;2952;0;2952;2265
2023-02-12;5207;3014;2108;0;2108;2265
2023-02-19;5010;3051;2046;0;2046;2265
2023-02-26;5988;3546;2615;0;2615;2760
2023-03-05;6091;3680;2712;0;2712;3090
2023-03-12;6628;4075;2860;0;2860;3090
2023-03-19;7469;4550;3134;0;3134;3090
2023-03-26;6332;3726;2567;0;2567;3090
2023-04-02;4554;2740;1769;0;1769;2495
2023-04-09;10204;5841;4079;0;4079;2495
2023-04-16;5365;3145;1972;0;1972;2495
2023-04-23;5627;3258;2188;0;2188;2495
2023-04-30;4838;2911;1896;0;1896;2570
2023-05-07;5584;3208;2060;0;2060;2570
2023-05-14;6904;4138;2877;0;2877;2570
2023-05-21;5903;3464;2340;0;2340;2570
2023-05-28;5187;2969;1860;0;1860;2432
2023-06-04;8995;5120;3638;0;3638;2225
2023-06-11;10929;6013;3909;0;3909;2225
2023-06-18;9480;5344;3619;0;3619;2225
2023-06-25;8157;4499;2975;0;2975;2225
2023-07-02;6530;3825;2405;0;2405;2790
2023-07-09;6543;3744;2432;0;2432;2790
2023-07-16;6698;3937;2706;0;2706;2790
2023-07-23;8072;4939;3201;0;3201;2790
2023-07-30;6111;3444;2208;0;2208;2702
2023-08-06;6269;3808;2572;0;2572;2680
2023-08-13;6844;4196;2797;0;2797;2680
2023-08-20;6657;3979;2726;0;2726;2680
2023-08-27;5676;3397;2365;0;2365;2610
2023-09-03;3954;2380;1282;0;1282;2330
2023-09-10;5351;3365;2144;0;2144;2330
2023-09-17;6002;3783;2543;0;2543;2330
2023-09-24;5561;3288;2402;0;2402;2330
2023-10-01;4342;2496;1550;0;1550;2160
2023-10-08;4037;2362;1454;0;1454;2160
2023-10-15;7018;4132;3383;0;3383;2160
2023-10-22;8294;5026;4194;0;4194;2160
2023-10-29;5264;2955;2159;0;2159;2466
2023-11-05;6472;3835;2909;0;2909;2670
2023-11-12;4829;2737;1876;0;1876;2670
2023-11-19;6943;4108;3256;0;3256;2670
2023-11-26;5307;2869;2156;0;2156;2542
2023-12-03;4928;2660;1793;0;1793;2030
2023-12-10;5561;3056;2308;0;2308;2030
2023-12-17;4183;2182;1360;0;1360;2030
2023-12-24;3285;1666;1016;0;1016;2030
2023-12-31;4158;2147;1204;0;1204;1715
2024-01-07;5184;2681;1841;0;1841;1715
2024-01-14;6680;3785;2802;0;2802;1715
2024-01-21;6786;3763;2828;0;2828;1715
2024-01-28;5453;2757;2148;0;2148;1141
2024-02-04;2328;1093;770;0;770;224
