data;PaidTV;Jornal;Revista;OpenTV;OOH;Cinema
2020-12-28;18793648;NA;NA;NA;NA;NA
2021-01-04;32152278;NA;NA;NA;NA;NA
2021-01-11;35244737;NA;NA;NA;NA;NA
2021-01-18;45978183;NA;NA;NA;NA;NA
2021-01-25;58216586;NA;NA;NA;NA;NA
2021-02-01;57280151;NA;NA;NA;NA;NA
2021-02-08;85209254;NA;NA;NA;NA;NA
2021-02-15;87561486;NA;NA;NA;NA;NA
2021-02-22;84551401;NA;NA;NA;NA;NA
2021-03-01;55239167;NA;NA;NA;NA;NA
2021-03-08;84706102;NA;NA;NA;NA;NA
2021-03-15;63193563;NA;NA;NA;NA;NA
2021-03-22;49922322;NA;NA;NA;NA;NA
2021-03-29;22435321;NA;NA;NA;NA;NA
2021-04-05;5524159;NA;NA;NA;NA;NA
2021-04-12;5881926;NA;NA;NA;NA;NA
2021-04-19;11113010;NA;NA;NA;NA;NA
2021-04-26;19336701;NA;NA;NA;NA;NA
2021-05-03;30516306;NA;NA;NA;NA;NA
2021-05-10;22068121;NA;NA;NA;NA;NA
2021-05-17;38451997;NA;NA;NA;NA;NA
2021-05-24;85558584;NA;NA;NA;NA;NA
2021-05-31;56008271;NA;NA;NA;NA;NA
2021-06-07;8705086;NA;NA;NA;NA;NA
2021-06-14;33640252;NA;NA;NA;NA;NA
2021-06-21;50424398;NA;NA;NA;NA;NA
2021-06-28;54440970;NA;NA;NA;NA;NA
2021-07-05;63015002;NA;NA;NA;NA;NA
2021-07-12;35775522;NA;NA;NA;NA;NA
2021-07-19;22531800;NA;NA;NA;NA;NA
2021-07-26;37330870;53419;NA;NA;NA;NA
2021-08-02;55416549;53419;NA;NA;NA;NA
2021-08-09;73504626;53419;NA;NA;NA;NA
2021-08-16;119533649;53419;NA;NA;NA;NA
2021-08-23;119020621;53419;NA;NA;NA;NA
2021-08-30;80123355;53419;61152;NA;NA;NA
2021-09-06;70081632;NA;61152;NA;NA;NA
2021-09-13;104343267;NA;61152;NA;NA;NA
2021-09-20;81099631;NA;61152;NA;NA;NA
2021-09-27;79699614;NA;61152;NA;NA;NA
2021-10-04;72949759;NA;NA;NA;NA;NA
2021-10-11;85568615;NA;NA;NA;NA;NA
2021-10-18;96088099;NA;NA;NA;NA;NA
2021-10-25;141624195;NA;NA;NA;NA;NA
2021-11-01;74436295;NA;NA;NA;NA;NA
2021-11-08;56633694;NA;NA;NA;NA;NA
2021-11-15;80958757;NA;NA;NA;NA;NA
2021-11-22;90315027;NA;NA;NA;NA;NA
2021-11-29;82510408;NA;118358;NA;NA;NA
2021-12-06;60622573;NA;118358;NA;NA;NA
2021-12-13;54119582;NA;118358;NA;NA;NA
2021-12-20;63989877;NA;118358;NA;NA;NA
2021-12-27;48592642;NA;118358;NA;NA;NA
2022-01-03;26395364;NA;NA;NA;NA;NA
2022-01-10;26407494;NA;NA;NA;NA;NA
2022-01-17;24851378;NA;NA;NA;NA;NA
2022-01-24;19189448;NA;NA;NA;NA;NA
2022-01-31;21967451;NA;NA;NA;NA;NA
2022-02-07;21192414;NA;NA;NA;NA;NA
2022-02-14;46075913;NA;NA;NA;NA;NA
2022-02-21;55924834;NA;NA;NA;NA;NA
2022-02-28;24529122;NA;129032;NA;NA;NA
2022-03-07;27909826;NA;129032;45619200;NA;NA
2022-03-14;55557585;NA;129032;NA;NA;NA
2022-03-21;43648351;NA;129032;NA;NA;NA
2022-03-28;45682503;NA;258072;NA;NA;NA
2022-04-04;37236703;NA;NA;NA;NA;NA
2022-04-11;45585673;NA;NA;NA;NA;NA
2022-04-18;74542102;NA;NA;NA;2680588;NA
2022-04-25;73678379;NA;NA;34594560;2680588;NA
2022-05-02;52360573;NA;NA;123876480;8643399;NA
2022-05-09;117296569;NA;NA;34594560;8643399;NA
2022-05-16;65941362;NA;NA;68104960;3928428;NA
2022-05-23;59933225;NA;NA;142506560;2252457;NA
2022-05-30;71344938;NA;NA;48390720;NA;NA
2022-06-06;99666137;NA;NA;110175520;NA;NA
2022-06-13;88052198;NA;NA;8888880;NA;NA
2022-06-20;92240351;NA;NA;83290480;NA;NA
2022-06-27;39927767;NA;NA;30139200;NA;NA
2022-07-04;17163721;NA;NA;89281920;NA;NA
2022-07-11;27557028;NA;NA;NA;NA;NA
2022-07-18;20174425;NA;NA;NA;NA;NA
2022-07-25;19301594;NA;NA;NA;NA;NA
2022-08-01;14549850;NA;NA;NA;NA;NA
2022-08-08;16869884;NA;NA;NA;NA;NA
2022-08-15;14474480;NA;NA;NA;NA;NA
2022-08-22;17933058;NA;NA;NA;NA;NA
2022-08-29;13211832;NA;66686;NA;NA;NA
2022-09-05;14102076;NA;33333;NA;NA;NA
2022-09-12;11976096;NA;33333;NA;NA;NA
2022-09-19;16106876;NA;33333;NA;NA;NA
2022-09-26;27788806;NA;65591;NA;NA;NA
2022-10-03;29120887;NA;32258;NA;NA;NA
2022-10-10;16403124;NA;32258;NA;NA;NA
2022-10-17;15786674;NA;32258;30159360;NA;NA
2022-10-24;17149369;NA;32258;NA;NA;NA
2022-10-31;9754430;NA;65591;NA;NA;NA
2022-11-07;5338960;NA;33333;30159360;NA;NA
2022-11-14;1118320;NA;33333;NA;NA;NA
2022-11-21;1118320;NA;33333;NA;NA;NA
2022-11-28;1118320;NA;65591;NA;NA;NA
2022-12-05;1118320;NA;32258;NA;NA;NA
2022-12-12;1118320;NA;32258;NA;NA;NA
2022-12-19;2848640;NA;32258;NA;NA;NA
2022-12-26;8793600;NA;64520;44000320;NA;NA
2023-01-02;2489680;NA;NA;70943600;791147;1193431
2023-01-09;873600;NA;NA;NA;5042576;1193431
2023-01-16;873600;NA;NA;NA;6505076;1193431
2023-01-23;873600;NA;NA;NA;15216417;NA
2023-01-30;3791920;NA;NA;NA;49219885;NA
2023-02-06;3305600;NA;NA;NA;11149626;NA
2023-02-13;7308900;NA;NA;35922435;6162760;NA
2023-02-20;2725860;NA;NA;44829933;12572348;NA
2023-02-27;2083200;NA;NA;54483233;13455888;NA
2023-03-06;27701980;NA;NA;NA;5835083;NA
2023-03-13;25836960;NA;NA;NA;2988000;NA
2023-03-20;19866540;NA;NA;40434432;NA;NA
2023-03-27;15667080;NA;NA;NA;NA;NA
2023-04-03;1872000;NA;NA;NA;NA;NA
2023-04-10;1872000;NA;NA;28769734;NA;NA
2023-04-17;748800;NA;NA;89781052;NA;NA
2023-04-24;4791360;NA;NA;259242405;NA;NA
2023-05-01;NA;NA;NA;125425560;NA;NA
2023-05-08;NA;NA;NA;182457951;NA;NA
2023-05-15;2328512;NA;NA;49790919;NA;NA
2023-05-22;4021984;NA;NA;28769734;NA;NA
2023-05-29;3210528;NA;NA;137217933;NA;NA
2023-06-05;8720224;NA;NA;252117667;NA;NA
2023-06-12;6283264;NA;NA;144381262;NA;NA
2023-06-19;10781322;NA;NA;365958478;NA;NA
2023-06-26;5480845;NA;NA;58768729;NA;NA
2023-07-03;NA;NA;NA;46764164;NA;NA
2023-07-10;31544336;NA;NA;28285188;NA;NA
2023-07-17;38364816;NA;NA;21577301;NA;NA
2023-07-24;37723208;NA;NA;21577301;NA;NA
2023-07-31;7668616;NA;72258;197162085;NA;NA
2023-08-07;NA;NA;72258;320014890;NA;NA
2023-08-14;NA;NA;72258;497960667;NA;NA
2023-08-21;NA;NA;72258;314339371;NA;NA
2023-08-28;NA;NA;224485;80658041;NA;NA
2023-09-04;NA;NA;152227;31115063;NA;NA
2023-09-11;NA;NA;152227;33994447;NA;NA
2023-09-18;NA;NA;152227;115952898;NA;NA
2023-09-25;NA;NA;224485;16167809;NA;NA
2023-10-02;NA;NA;72258;21577301;NA;NA
2023-10-09;3099521;NA;72258;23548749;4925673;NA
2023-10-16;3099521;NA;72258;36066768;10852911;NA
2023-10-23;3099521;NA;72258;140172019;2690020;NA
2023-10-30;3012687;NA;146925;71375771;11591384;NA
2023-11-06;3012687;NA;74667;34509980;8901364;NA
2023-11-13;3012687;NA;74667;22560227;2147445;NA
2023-11-20;3099519;NA;74667;63593476;2147445;NA
2023-11-27;3099519;NA;146925;8437183;NA;NA
2023-12-04;NA;NA;72258;NA;NA;NA
2023-12-11;NA;NA;72258;NA;NA;NA
2023-12-18;NA;NA;72258;NA;NA;NA
2023-12-25;NA;NA;72258;NA;NA;NA
