Data;Spend_SEARCH;Spend_DV360;Spend_GOOGLE_ADS;Spend_META;Spend_AMAZON;Spend_TEADS;Spend_TWITTER;Spend_YAHOO;Spend_TIKTOK;Spend_PINTEREST;Spend_LINKEDIN;Spend_CONNECTED_INTERATIVE;Spend_HYPR;Spend_GDB;Spend_MERCADO_LIVRE;Imp_SEARCH;Imp_DV360;Imp_GOOGLE_ADS;Imp_META;Imp_AMAZON;Imp_TEADS;Imp_TWITTER;Imp_YAHOO;Imp_TIKTOK;Imp_PINTEREST;Imp_LINKEDIN;Imp_CONNECTED_INTERATIVE;Imp_HYPR;Imp_GDB;Imp_MERCADO_LIVRE;Spend_PaidTV;Spend_Jornal;Spend_Revista;Spend_OpenTV;Spend_OOH;Spend_Cinema;FLUXO_DE_LOJA;PEDIDOS_DE_VENDAS_TOTAIS;EMPLACAMENTO
2020-12-28;157930,97;189633,28;93519,32;126770,92;9782,24;49180,34;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;680420,00;48750566,00;19789288,00;14176232,00;7681254,00;5608595,46;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;18793648,00;53419;85747,84;93342367,33;8375996,12;1193431;6464;2978;2480
2021-01-04;415670,44;457247,91;209163,04;281774,93;23390,33;32479,92;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1731142,00;158893967,00;56321717,00;23672759,00;17595154,00;4441647,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;32152278,00;53419;85747,84;93342367,33;8375996,12;1193431;6464;2978;2480
2021-01-11;425529,61;474778,69;232230,58;309598,82;22455,28;86547,61;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1735838,00;176715484,00;50595842,00;30242448,00;17070451,00;13366367,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;35244737,00;53419;85747,84;93342367,33;8375996,12;1193431;6464;2978;2480
2021-01-18;408029,73;473768,69;272775,88;311663,55;21085,72;80642,57;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1670309,00;173828195,00;83203605,00;32360819,00;16016270,00;13547016,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;45978183,00;53419;85747,84;93342367,33;8375996,12;1193431;193;107;2480
2021-01-25;327202,12;440027,84;356532,74;318736,28;22273,35;50291,45;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1355807,00;169239404,00;67856394,00;32230582,00;17081809,00;9831047,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;58216586,00;53419;85747,84;93342367,33;8375996,12;1193431;5585;2661;2480
2021-02-01;385656,97;461768,89;266885,55;300533,85;23100,32;63960,93;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1520324,00;202536066,00;52479451,00;30594786,00;19244942,00;10223418,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;57280151,00;53419;85747,84;93342367,33;8375996,12;1193431;5592;2452;2480
2021-02-08;437505,85;490697,25;261874,51;372679,71;25580,60;81456,38;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1728524,00;193599697,00;43474665,00;40762830,00;17642038,00;14445071,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;85209254,00;53419;85747,84;93342367,33;8375996,12;1193431;5917;2699;2480
2021-02-15;455893,97;486095,46;260804,59;390025,46;29773,95;66879,58;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1733546,00;191814735,00;43887578,00;44003557,00;17653353,00;12793476,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;87561486,00;53419;85747,84;93342367,33;8375996,12;1193431;6221;3815;2480
2021-02-22;481628,26;465308,26;549000,15;305540,98;21588,46;37205,00;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1740157,00;164627912,00;115714068,00;26684555,00;12509470,00;5918007,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;84551401,00;53419;85747,84;93342367,33;8375996,12;1193431;4337;2121;2480
2021-03-01;433320,60;327073,91;199649,43;277474,55;13996,93;37227,22;36086,13;57103,46;46530,74;11925,11;18341,20;25635,95;25000,02;9009,66;14287,67;1598792,00;170173266,00;30179431,00;25679051,00;7400739,00;6165338,00;14673028,28;22341190,72;14959330,18;2096060,55;2827967,55;757028,25;3063352,25;1318261;2256511,48;55239167,00;53419;85747,84;93342367,33;8375996,12;1193431;3901;2461;2480
